BAIRRO,codbairro,codbnum,regiao_adm,codra,ra,rp,cod_rp,ap,area_plane,valor médio em salários mínimos,valor mediano em salários mínimos
Barra da Tijuca,128,128,BARRA DA TIJUCA,24,XXIV Barra da Tijuca,Barra da Tijuca,4.2,Área de Planejamento 4,4,12.41524052,11.77773102
Camorim,129,129,BARRA DA TIJUCA,24,XXIV Barra da Tijuca,Barra da Tijuca,4.2,Área de Planejamento 4,4,3.095882838,1.351938944
Vargem Pequena,130,130,BARRA DA TIJUCA,24,XXIV Barra da Tijuca,Barra da Tijuca,4.2,Área de Planejamento 4,4,3.660512522,2.675358911
Vargem Grande,131,131,BARRA DA TIJUCA,24,XXIV Barra da Tijuca,Barra da Tijuca,4.2,Área de Planejamento 4,4,3.034025353,2.394785479
Recreio dos Bandeirantes,132,132,BARRA DA TIJUCA,24,XXIV Barra da Tijuca,Barra da Tijuca,4.2,Área de Planejamento 4,4,7.417907375,8.201848185
Grumari,133,133,BARRA DA TIJUCA,24,XXIV Barra da Tijuca,Barra da Tijuca,4.2,Área de Planejamento 4,4,1.849174917,1.849174917
Deodoro,134,134,REALENGO,33,XXXIII Realengo,Bangu,5.1,Área de Planejamento 5,5,2.811681597,1.758564356
Vila Militar,135,135,REALENGO,33,XXXIII Realengo,Bangu,5.1,Área de Planejamento 5,5,3.485634724,2.330944719
Campo dos Afonsos,136,136,REALENGO,33,XXXIII Realengo,Bangu,5.1,Área de Planejamento 5,5,6.518492849,6.364034653
Jardim Sulacap,137,137,REALENGO,33,XXXIII Realengo,Bangu,5.1,Área de Planejamento 5,5,4.087282019,3.978333333
Magalhães Bastos,138,138,REALENGO,33,XXXIII Realengo,Bangu,5.1,Área de Planejamento 5,5,2.129145601,2.132219472
Realengo,139,139,REALENGO,33,XXXIII Realengo,Bangu,5.1,Área de Planejamento 5,5,2.008401569,1.936485149
Padre Miguel,140,140,BANGU,17,XVII Bangu,Bangu,5.1,Área de Planejamento 5,5,1.945249241,1.847879538
Bangu,141,141,BANGU,17,XVII Bangu,Bangu,5.1,Área de Planejamento 5,5,1.901415583,1.732557756
Senador Camará,142,142,BANGU,17,XVII Bangu,Bangu,5.1,Área de Planejamento 5,5,1.468590251,1.298679868
Santíssimo,143,143,CAMPO GRANDE,18,XVIII Campo Grande,Campo Grande,5.2,Área de Planejamento 5,5,1.85876846,1.791320132
Campo Grande,144,144,CAMPO GRANDE,18,XVIII Campo Grande,Campo Grande,5.2,Área de Planejamento 5,5,2.723410406,2.521584158
Senador Vasconcelos,145,145,CAMPO GRANDE,18,XVIII Campo Grande,Campo Grande,5.2,Área de Planejamento 5,5,1.843292326,1.75330033
Inhoaíba,146,146,CAMPO GRANDE,18,XVIII Campo Grande,Campo Grande,5.2,Área de Planejamento 5,5,1.650029484,1.501410891
Cosmos,147,147,CAMPO GRANDE,18,XVIII Campo Grande,Campo Grande,5.2,Área de Planejamento 5,5,1.675687194,1.594179043
