BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,MAGNITUDE,INDICE_INFORMALIDADE,RENDA MENSAL,TAXA DE ESFORÇO,LATITUDE,LONGITUDE,RISCO_TARGET,RISCO ALTO
Pechincha,39.45555555555556,12647,1.033,294368,1.305,0.04579829713142835,7138.92,0.28,-22.928988,-43.3534191,0,0.0
Moneró,33.0,2032,1.186,17288,1.032,0.0,7494.47,0.22,-22.7964947,-43.197406,0,0.0
Todos os Santos,40.06666666666667,8051,1.055,124045,1.177,0.0031395745874300846,7556.04,0.27,-22.894563,-43.28506,0,0.0
Méier,36.952777777777776,16931,1.022,38355,1.062,0.0047511188477333275,7332.22,0.25,-22.90173,-43.2797093,0,0.0
Ribeira,32.1,1491,1.248,56619,1.127,0.0,7345.97,0.22,-22.8252399,-43.1705907,0,0.0
Maracanã,48.73333333333333,11655,1.045,46457,1.078,0.0,10384.81,0.23,-22.9121619,-43.2311861,0,0.0
Rocha,35.788888888888884,5730,1.069,69275,1.116,0.0,2902.54,0.62,-22.8995624,-43.2488072,0,0.0
Praia da Bandeira,35.166666666666664,2155,1.187,74329,1.145,0.0,5024.3,0.35,-22.8104077,-43.179895,0,0.0
Higienópolis,27.45,5083,1.06,42367,1.074,0.0689357745891819,4104.73,0.33,-22.873999,-43.2613682,0,0.0
Bonsucesso,28.316666666666663,7383,1.041,175780,1.221,0.04566323948945563,4196.47,0.34,-22.8659317,-43.253318,0,0.0
Flamengo,101.3,25506,1.043,30889,1.05,0.03241805411932697,12194.52,0.42,-22.9339841,-43.1745744,0,0.0
Rocha Miranda,27.2,9197,1.031,559305,1.447,0.1062726266515586,3181.98,0.43,-22.8503472,-43.3463053,0,0.0
Copacabana,100.7472222222222,75872,1.012,217411,1.245,0.11420595256816612,11850.98,0.43,-22.971974,-43.1842997,0,0.0
Ipanema,158.90555555555554,21788,1.082,10130,1.0,0.054247179822228764,18604.77,0.43,-22.9839557,-43.2022163,0,0.0
Laranjeiras,112.675,19761,1.063,216449,1.26,0.04752317885023413,12930.58,0.44,-22.9343173,-43.1878165,0,0.0
Colégio,36.33888888888889,4520,1.09,231194,1.28,0.25369678951797103,2545.26,0.71,-22.83979,-43.3357623,0,0.0
Tauá,33.599999999999994,4377,1.086,155547,1.215,0.5706786035796867,2443.7,0.69,-22.7977495,-43.1867478,0,0.0
Turiaçú,27.9,3392,1.093,982607,1.657,0.0,3131.32,0.45,-22.8616631,-43.3418026,0,0.0
Piedade,31.38888888888889,11980,1.027,414532,1.372,0.24214097956865038,3411.23,0.46,-22.8926665,-43.3110001,0,0.0
Guadalupe,29.14444444444445,10160,1.03,413963,1.373,0.3349433606597254,3123.81,0.47,-22.8376208,-43.3751608,0,0.0
Ramos,37.96666666666667,10417,1.039,190054,1.232,0.07879390068046117,3860.36,0.49,-22.8519758,-43.2555693,0,0.0
Rio Comprido,39.79444444444445,8898,1.049,433382,1.392,0.3886554825280631,3101.17,0.64,-22.9279449,-43.2088566,0,0.0
Cascadura,33.25277777777777,8761,1.041,507252,1.427,0.2579661120109255,3236.21,0.51,-22.8841816,-43.3283969,0,0.0
Urca,159.86666666666667,2186,1.851,7355,1.034,0.013502378717514727,15250.62,0.52,-22.954074,-43.1679727,0,0.0
Leme,160.15,5762,1.321,15232,1.037,0.3064299334385463,13824.53,0.58,-22.961704,-43.1669042,0,0.0
Cocotá,43.8,1665,1.304,69549,1.158,0.048753347225504354,5425.38,0.4,-22.8050047,-43.1805463,0,0.0
Engenho Novo,32.102777777777774,13788,1.024,605366,1.464,0.3068619155790053,3993.23,0.4,-22.9090942,-43.2678381,0,0.0
Madureira,27.491666666666664,12583,1.022,700308,1.503,0.2919090505181521,3436.78,0.4,-22.871658,-43.3371976,0,0.0
Portuguesa,39.18333333333334,6950,1.062,23031,1.035,0.19183540138016264,5536.08,0.35,-22.7999597,-43.2068169,0,0.0
Engenho de Dentro,31.84166666666667,16654,1.019,1856856,1.863,0.06195023121637038,4628.03,0.34,-22.9026591,-43.2967757,0,0.0
Campinho,28.591666666666665,2269,1.144,128962,1.204,0.20897288361791375,4241.52,0.34,-22.8852187,-43.347738,0,0.0
Jardim América,22.316666666666663,6313,1.038,223535,1.258,0.03709678093082329,3257.84,0.34,-22.810005,-43.323212,0,0.0
Bento Ribeiro,27.569444444444443,9612,1.03,239241,1.266,0.025677783855191257,3980.06,0.35,-22.8666607,-43.3608367,0,0.0
Jardim Carioca,22.1,4125,1.059,225559,1.266,0.2539560796478812,3117.92,0.35,-22.8052493,-43.1931949,0,0.0
