objectid,cod_favela,nome,situacao,cod_comple,complexo,data_cadas,cod_bairro,bairro,cod_ra,ra,cod_rp,rp,cod_ap,pop_sabren,dom_sabren,fonte,upp,cod_bair_1,area,shape_Length,shape_Area
216,861,Estrada do Itararé,1,2084,Complexo do Alemão,2009/01/15 00:00:00+00,156,Complexo do Alemão,29,Complexo do Alemão,3.4,Inhaúma,3,22,11,IPP com base em IBGE - Censo Demográfico 2022,,156,2578.96576362,217.364252864664,2578.96576360319
217,860,Rua 1 pela Ademas,1,2084,Complexo do Alemão,2009/01/15 00:00:00+00,156,Complexo do Alemão,29,Complexo do Alemão,3.4,Inhaúma,3,94,44,IPP com base em IBGE - Censo Demográfico 2022,,156,4857.20587908,553.752509856097,4857.20587905423
218,859,Rua Myron Clark,1,2078,Myron Clark,2009/01/15 00:00:00+00,110,Coelho Neto,25,Pavuna,3.6,Pavuna,3,289,121,IPP com base em IBGE - Censo Demográfico 2022,,110,9051.57352387,681.729644076956,9051.57352379999
219,858,Rua Myron Clark (Rua Jatuaia),1,2078,Myron Clark,2009/01/15 00:00:00+00,110,Coelho Neto,25,Pavuna,3.6,Pavuna,3,65,28,IPP com base em IBGE - Censo Demográfico 2022,,110,3628.96594559,497.672749726013,3628.96594557535
220,855,Anastácia,2,0,Isolada,2009/01/15 00:00:00+00,5,Centro,2,Centro,1.1,Centro,1,74,36,IPP com base em IBGE - Censo Demográfico 2022,,005,1942.73746797,176.462191555921,1942.73746796452
221,1160,Salsa e Merengue,0,0, ,2021/08/16 00:00:00+00,157,Maré,30,Complexo da Maré,3.1,Ramos,3,66,28,IPP com base em IBGE - Censo Demográfico 2022,,157,4719.5501451,340.663928323114,4719.55014517068
222,854,"Rua Cardoso Quintão, nº 509 / Rua Paulo Eiro, nº 123",1,2056,Rua Baleares,2009/01/15 00:00:00+00,80,Cavalcanti,15,Madureira,3.3,Madureira,3,36,18,IPP com base em IBGE - Censo Demográfico 2022,,080,2636.28654582,375.744314736206,2636.28654583067
223,853,"Rua Silva Vale, nº 108",2,0,Isolada,2009/01/15 00:00:00+00,80,Cavalcanti,15,Madureira,3.3,Madureira,3,29,15,IPP com base em IBGE - Censo Demográfico 2022,,080,5088.62228783,328.250159935384,5088.62228783835
224,852,"Avenida Dom Helder Câmara, nº 9.991 (rua Silvério, nº 79)",2,0,Isolada,2009/01/15 00:00:00+00,82,Cascadura,15,Madureira,3.3,Madureira,3,20,13,IPP com base em IBGE - Censo Demográfico 2022,,082,2044.82256063,204.76432046353,2044.82256062225
225,851,"Estrada Guandu do Sena, nº 1.057",2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,77,32,IPP com base em IBGE - Censo Demográfico 2022,,144,8680.86861841,854.074684252019,8680.86861833812
226,850,Jardim Nossa Senhora das Graças III,1,2126,Jardim Nossa Senhora das Graças,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,295,102,IPP com base em IBGE - Censo Demográfico 2022,,144,10093.07091881,425.881950875346,10093.0709187862
227,849,"Estrada Guandu do Sapé, nº 870",2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,14,7,IPP com base em IBGE - Censo Demográfico 2022,,144,2034.51582789,221.903641231689,2034.51582793808
228,814,"Estrada de Realengo, nº 1.516",2,0,Isolada,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,134,52,IPP com base em IBGE - Censo Demográfico 2022,,141,2498.24881588,199.098459764741,2498.24881586593
229,848,Estrada da Cachamorra (altura da Av. Mario Pedrosa),2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,22,10,IPP com base em IBGE - Censo Demográfico 2022,,144,3815.78266938,671.47088395132,3815.78266937758
230,847,Estrada João Melo (altura do nº 460 - Caminho do Pastoria),2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,142,61,IPP com base em IBGE - Censo Demográfico 2022,,144,9766.23529188,717.874473212209,9766.23529189527
231,846,Estrada da Caroba,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,60,23,IPP com base em IBGE - Censo Demográfico 2022,,144,2350.33941509,260.86655819107,2350.33941515551
232,845,Morro do Quilombo,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,148,61,IPP com base em IBGE - Censo Demográfico 2022,,144,8229.88148272,633.592758121307,8229.88148271563
233,844,Bosque dos Caboclos,1,2124,Bosque dos Caboclos,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,295,142,IPP com base em IBGE - Censo Demográfico 2022,,144,24431.25424006,851.555017891223,24431.2542400969
234,843,Bairro São Sebastião,1,2124,Bosque dos Caboclos,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,373,149,IPP com base em IBGE - Censo Demográfico 2022,,144,19694.46449192,750.957712219204,19694.4644918673
235,842,Comari,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,95,38,IPP com base em IBGE - Censo Demográfico 2022,,144,5771.64796825,498.705199793456,5771.64796826558
236,841,Ocupação Olga Benário Prestes,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,313,109,IPP com base em IBGE - Censo Demográfico 2022,,144,9710.554536,414.069119016069,9710.55453605964
237,840,Torre de Babel,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,297,108,IPP com base em IBGE - Censo Demográfico 2022,,144,17200.74733919,843.118394006425,17200.7473392164
238,839,"Rua Gramado, nº 783 - servidão",2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,98,48,IPP com base em IBGE - Censo Demográfico 2022,,144,8724.70959935,413.531527323428,8724.70959934
239,776,Ilha da Gigóia - Lote 500,2,0,Isolada,2002/12/11 00:00:00+00,128,Barra da Tijuca,24,Barra da Tijuca,4.2,Barra da Tijuca,4,20,12,IPP com base em IBGE - Censo Demográfico 2022,,128,880.60513701,124.419389259134,880.60513699474
240,819,Quinta do Taquaral,1,2118,Fazenda Coqueiro,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,131,49,IPP com base em IBGE - Censo Demográfico 2022,,141,8246.71942558,618.469852118033,8246.71942559104
241,838,Estrada do Mato Alto,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,441,161,IPP com base em IBGE - Censo Demográfico 2022,,144,22366.1165127,956.011565873526,22366.1165127181
242,837,Afonso Viseu,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,60,24,IPP com base em IBGE - Censo Demográfico 2022,,144,5568.9303392,317.75135411898,5568.93033922486
243,836,Caminho do Céu (Trav. Miguel Sacramento),2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,36,15,IPP com base em IBGE - Censo Demográfico 2022,,144,5622.38592679,690.117587571432,5622.38592674766
244,835,Caminho do Céu (Rua João Galdino),2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,23,23,IPP com base em IBGE - Censo Demográfico 2022,,144,6411.05402492,768.36399319499,6411.05402489018
